od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_002029,run20260221000458,pt_4b70a67695e70520,Child Care Services,1.296129,103.830657,pt_d6c6832bf16e4a74,Hawker Centres,1.305634,103.863909,3.844629,3_8km,612.000,5354.000,2026-02-21T00:23:34.901819+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002030,run20260221000458,pt_3cac81d9e108a146,Community Club / PAssion WaVe Outlet,1.281193,103.843013,pt_79c7a7313f8b1e1c,Child Care Services,1.437899,103.799779,18.075554,8_20km,2125.000,26636.000,2026-02-21T00:23:35.183767+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002031,run20260221000458,pt_28b2a822b8a11374,Child Care Services,1.323894,103.864249,pt_6b1be9c6eaf90a60,Child Care Services,1.331241,103.798218,7.385663,3_8km,800.000,9579.000,2026-02-21T00:23:35.475662+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002032,run20260221000458,pt_ca6f66b3ef1b243d,Child Care Services,1.429077,103.792256,pt_78b669af0abeda93,Child Care Services,1.387216,103.829163,6.204684,3_8km,926.000,8291.000,2026-02-21T00:23:35.948466+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002033,run20260221000458,pt_e1d16030ada72763,Child Care Services,1.352878,103.842430,pt_a2db85d197adb383,Child Care Services,1.333896,103.857559,2.698802,1_3km,703.000,4724.000,2026-02-21T00:23:36.295626+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002034,run20260221000458,pt_90d39d94a8670e0e,Child Care Services,1.348486,103.752598,pt_63e97a4634e0bee2,Child Care Services,1.349272,103.743591,1.005062,1_3km,223.000,1483.000,2026-02-21T00:23:36.621303+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002035,run20260221000458,pt_793d82c6c4df65ea,Child Care Services,1.280413,103.829271,pt_f8a9fef7b5b7294f,Hawker Centres,1.334551,103.852004,6.528803,3_8km,1031.000,11694.000,2026-02-21T00:23:36.932171+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002036,run20260221000458,pt_06e2ba4347438092,Child Care Services,1.352410,103.886492,pt_4658e5ee293249e9,Child Care Services,1.344633,103.943349,6.379343,3_8km,1062.000,8457.000,2026-02-21T00:23:37.240702+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002037,run20260221000458,pt_b9aae7eae42dff57,Child Care Services,1.400662,103.910914,pt_a0b7f9f10a39a3b6,Child Care Services,1.359933,103.768483,16.467991,8_20km,2267.000,27086.000,2026-02-21T00:23:37.536424+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002038,run20260221000458,pt_a32349e0971ecd23,Child Care Services,1.376763,103.878108,pt_a468fdf11ca5e337,Child Care Services,1.358816,103.891448,2.486267,1_3km,725.000,4702.000,2026-02-21T00:23:37.822028+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
